run_id,seed,batch_size,lr,config_id,check,cumulative_optimizer_steps,effective_epochs,steps_per_epoch,train_loss,val_auprc,val_auroc,val_brier,val_ece,val_n,val_prevalence,check_runtime_s
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,25,9150,25.0,366,0.08329188656774375,0.8159111552267881,0.8155018430628153,0.22064696039546547,0.19801118781556357,93610,0.5,5.28
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,26,9516,26.0,366,0.0784195658593067,0.8131919714275779,0.8138996094653006,0.22743281095515736,0.20436711385854603,93610,0.5,5.36
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,27,9882,27.0,366,0.0739456488460791,0.8148801563164478,0.8153075357908546,0.22762418992628058,0.20546413938878366,93610,0.5,5.13
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,28,10248,28.0,366,0.07105501238358476,0.8124096679689303,0.8130817318752461,0.22663435394587925,0.20564185342183122,93610,0.5,5.12
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,29,10614,29.0,366,0.06836746090544703,0.8172160970840187,0.8196235324422112,0.2228745271182864,0.201982087562644,93610,0.5,4.96
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,30,10980,30.0,366,0.06380001862680977,0.813852196104761,0.8164841647485177,0.2275444941040451,0.20961360437871726,93610,0.5,5.33
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,31,11346,31.0,366,0.06265406331424016,0.8091263886902061,0.8129417606894465,0.22989765209903926,0.21190614708619787,93610,0.5,5.24
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,32,11712,32.0,366,0.058613478282435995,0.8141219130031389,0.8173634578711144,0.22602919581398756,0.2057045033290898,93610,0.5,5.28
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,33,12078,33.0,366,0.05564636848052668,0.8098157738819085,0.8158321691454069,0.23249679435956733,0.21538460911845453,93610,0.5,5.27
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,34,12444,34.0,366,0.05322000988927044,0.8063855820514042,0.8117346655540735,0.23328740516398241,0.21706837191896078,93610,0.5,5.34
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,35,12810,35.0,366,0.050242986306140984,0.8136345402813434,0.8162776641583718,0.22929254036919197,0.2132053201899383,93610,0.5,5.27
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,36,13176,36.0,366,0.048402013374197354,0.812933622598013,0.8150442588076063,0.23379661936669505,0.21757954498774937,93610,0.5,5.29
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,37,13542,37.0,366,0.04597487201904013,0.8167952254244034,0.8158497438288244,0.2315291224386586,0.2152159863525642,93610,0.5,5.17
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,38,13908,38.0,366,0.043523679278750234,0.8150415306494465,0.8168539431447055,0.23142723166457635,0.2159960336061898,93610,0.5,5.34
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,39,14274,39.0,366,0.04137120551628168,0.8152636117720522,0.8166919678855881,0.23162812255687154,0.2165934237846492,93610,0.5,5.27
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,40,14640,40.0,366,0.03963314709024596,0.8129440851766658,0.8145811393556199,0.23149140743474764,0.21811537006750314,93610,0.5,5.17
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,41,15006,41.0,366,0.03678213113593192,0.8164294183247622,0.8180664408713252,0.23010135366305637,0.2178902308612106,93610,0.5,5.34
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,42,15372,42.0,366,0.036056769131352015,0.8147027530812057,0.8146091022330555,0.2388327351259678,0.21967066640415223,93610,0.5,5.26
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,43,15738,43.0,366,0.03437772238006195,0.8113063736333717,0.8152362777782767,0.23705006863266273,0.22274917033347227,93610,0.5,5.27
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,44,16104,44.0,366,0.031960951090571496,0.8152936385776889,0.8175202758934523,0.2334374506211604,0.220851252356461,93610,0.5,5.21
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,45,16470,45.0,366,0.030577799944013682,0.8121356305245182,0.8157434722502557,0.23555026315319488,0.22348089420572262,93610,0.5,5.12
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,46,16836,46.0,366,0.030148438480809902,0.8121597384296548,0.8142796046497343,0.23658156501088123,0.22416587657959525,93610,0.5,4.96
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,47,17202,47.0,366,0.029477901090078994,0.8138989576640164,0.8152756082134678,0.2353558598012098,0.22172157775797596,93610,0.5,5.16
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,48,17568,48.0,366,0.027804737374990608,0.8129710768550552,0.8151413481949519,0.23800340151872068,0.2244996033731006,93610,0.5,5.26
9ee98d8aaba66d44,0,512,0.001,33fd8970f103554e,49,17934,49.0,366,0.02631312896767275,0.812038472164748,0.8139652845796281,0.23785526412972124,0.22605985383484226,93610,0.5,5.33
