scheme,seed,negatives,test_S1_fraction,n_train,n_test,model,encoding,test_view,auc_roc,auprc,f1,brier,prevalence,n,n_positive,threshold
random_pair,1,degree_matched,0.9995471803267268,267948,57418,random_forest,symmetric,S2,0.5798816568047338,0.6170719685696078,0.5714285714285714,0.2373473877647978,0.5,26,13,0.464785948174146
drug,0,uniform,0.0,187260,84690,degree_only,none,pooled,0.7221159283157828,0.7088370923111952,0.7134361891805543,0.49679673098387245,0.5,84690,42345,0.0008859072995920414
drug,0,uniform,0.0,187260,84690,degree_only,none,S2,0.7687761651510328,0.7298967055040181,0.7431454643048846,0.4964739061796745,0.5,76932,38466,0.0008859072995920414
drug,0,uniform,0.0,187260,84690,degree_only,none,S3,0.5,0.5,0.0,0.4999980145410464,0.5,7758,3879,0.0008859072995920414
drug,0,uniform,0.0,187260,84690,logreg,concat,pooled,0.760717641626067,0.7388067475569359,0.7308292355392302,0.20345455364804516,0.5,84690,42345,0.2677118202461339
drug,0,uniform,0.0,187260,84690,logreg,concat,S2,0.7694055252030321,0.7464752558499184,0.7369252749155771,0.1989331628329077,0.5,76932,38466,0.2677118202461339
drug,0,uniform,0.0,187260,84690,logreg,concat,S3,0.6730317417688108,0.6579317658254163,0.6674172483674848,0.2482908050259974,0.5,7758,3879,0.2677118202461339
drug,0,uniform,0.0,187260,84690,random_forest,concat,pooled,0.7874589695346023,0.7777073102703044,0.73392785837881,0.19765605984181125,0.5,84690,42345,0.41074194238418316
drug,0,uniform,0.0,187260,84690,random_forest,concat,S2,0.7949190123447057,0.7844238702528504,0.7396940481935824,0.19528145555690427,0.5,76932,38466,0.41074194238418316
drug,0,uniform,0.0,187260,84690,random_forest,concat,S3,0.7108983327242273,0.7002539252103086,0.6739789964994166,0.22120375987358043,0.5,7758,3879,0.41074194238418316
drug,0,uniform,0.0,187260,84690,logreg,symmetric,pooled,0.7624857893723967,0.7388183451538489,0.7329591654602067,0.20493049852820883,0.5,84690,42345,0.25075348095423483
drug,0,uniform,0.0,187260,84690,logreg,symmetric,S2,0.7717668730045679,0.7468635484149464,0.7395164357511546,0.19981627877317548,0.5,76932,38466,0.25075348095423483
drug,0,uniform,0.0,187260,84690,logreg,symmetric,S3,0.6686816678885341,0.6542052148357811,0.6645505044779504,0.25564552227069703,0.5,7758,3879,0.25075348095423483
