fold,model,bucket,auc_roc,auprc,auprc_lift,balanced_accuracy,f1,f2,precision,recall,n,n_positive
1,DDI-Net[gat],test_S3,0.5476190476190477,0.300103825381582,1.200415301526328,0.5357142857142857,0.3225806451612903,0.3424657534246575,0.29411764705882354,0.35714285714285715,56,14
2,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,432,108
2,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,432,108
2,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,rules,test_S2,0.6641375171467764,0.4191239939778218,1.6764959759112872,0.6558641975308642,0.4864864864864865,0.5403087478559176,0.41721854304635764,0.5833333333333334,432,108
2,rules,test_S3,0.8204837490551776,0.5786077997900658,2.3144311991602633,0.8095238095238095,0.6666666666666666,0.7692307692307693,0.5454545454545454,0.8571428571428571,84,21
2,similarity,test_S2,0.536565500685871,0.3684751149915084,1.4739004599660337,0.5277777777777778,0.10526315789473684,0.0684931506849315,1.0,0.05555555555555555,432,108
2,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,84,21
2,logistic_regression,test_S2,0.4949702789208962,0.27552632567559104,1.1021053027023642,0.5185185185185185,0.3,0.3191489361702128,0.2727272727272727,0.3333333333333333,432,108
2,logistic_regression,test_S3,0.6507936507936508,0.4137474622278712,1.6549898489114847,0.5873015873015873,0.391304347826087,0.41284403669724773,0.36,0.42857142857142855,84,21
2,random_forest,test_S2,0.5023148148148148,0.3001825104102792,1.2007300416411169,0.529320987654321,0.20134228187919462,0.15856236786469344,0.36585365853658536,0.1388888888888889,432,108
2,random_forest,test_S3,0.45427059712774,0.2523960811256346,1.0095843245025384,0.5,0.0,0.0,0.0,0.0,84,21
2,DDI-Net[gat],test_S2,0.766803840877915,0.526906781870378,2.107627127481512,0.6697530864197531,0.5042735042735043,0.5286738351254481,0.46825396825396826,0.5462962962962963,432,108
2,DDI-Net[gat],test_S3,0.7226001511715797,0.5145556764566227,2.058222705826491,0.626984126984127,0.46153846153846156,0.5859375,0.3409090909090909,0.7142857142857143,84,21
3,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,440,110
3,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,440,110
3,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,rules,test_S2,0.7504132231404959,0.5009058327820722,2.003623331128289,0.740909090909091,0.5865724381625441,0.6769983686786297,0.4797687861271676,0.7545454545454545,440,110
3,rules,test_S3,0.6654166666666668,0.40659156900010557,1.6263662760004223,0.6583333333333333,0.49056603773584906,0.5752212389380531,0.3939393939393939,0.65,80,20
3,similarity,test_S2,0.6085537190082646,0.39647348125266235,1.5858939250106494,0.5045454545454545,0.018018018018018018,0.011337868480725623,1.0,0.00909090909090909,440,110
3,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
3,logistic_regression,test_S2,0.536969696969697,0.2836907723016302,1.1347630892065208,0.5287878787878788,0.29955947136563876,0.3052064631956912,0.2905982905982906,0.3090909090909091,440,110
3,logistic_regression,test_S3,0.5791666666666666,0.36454477965141774,1.458179118605671,0.5333333333333333,0.3181818181818182,0.33653846153846156,0.2916666666666667,0.35,80,20
3,random_forest,test_S2,0.5779889807162535,0.320583883868518,1.282335535474072,0.5045454545454545,0.0916030534351145,0.0650759219088937,0.2857142857142857,0.05454545454545454,440,110
3,random_forest,test_S3,0.42333333333333334,0.25718028717388064,1.0287211486955226,0.5,0.0,0.0,0.0,0.0,80,20
3,DDI-Net[gat],test_S2,0.7792837465564737,0.523508041223964,2.094032164895856,0.7,0.5407407407407407,0.6083333333333333,0.45625,0.6636363636363637,440,110
3,DDI-Net[gat],test_S3,0.745,0.4882763634315359,1.9531054537261436,0.7166666666666667,0.5517241379310345,0.6779661016949152,0.42105263157894735,0.8,80,20
4,prevalence,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,416,104
4,prevalence,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
4,degree,test_S2,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,416,104
4,degree,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
4,rules,test_S2,0.7024469921104537,0.39869845609851073,1.594793824394043,0.7003205128205128,0.5432098765432098,0.5945945945945946,0.4748201438848921,0.6346153846153846,416,104
4,rules,test_S3,0.6308333333333334,0.3143018018018018,1.2572072072072071,0.625,0.4444444444444444,0.47619047619047616,0.4,0.5,80,20
4,similarity,test_S2,0.5490631163708086,0.33350680429941437,1.3340272171976575,0.5128205128205128,0.05555555555555555,0.03571428571428571,0.75,0.028846153846153848,416,104
4,similarity,test_S3,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,80,20
4,logistic_regression,test_S2,0.534516765285996,0.28301489045835393,1.1320595618334157,0.5144230769230769,0.27053140096618356,0.2697495183044316,0.27184466019417475,0.2692307692307692,416,104
4,logistic_regression,test_S3,0.5233333333333334,0.25937793732146774,1.037511749285871,0.4416666666666667,0.06451612903225806,0.054945054945054944,0.09090909090909091,0.05,80,20
4,random_forest,test_S2,0.5142381656804733,0.26344605774532526,1.053784230981301,0.5016025641025641,0.09448818897637795,0.0683371298405467,0.2608695652173913,0.057692307692307696,416,104
4,random_forest,test_S3,0.4916666666666667,0.26512024440517584,1.0604809776207034,0.5,0.0,0.0,0.0,0.0,80,20
4,DDI-Net[gat],test_S2,0.7905263806706114,0.5932896189246242,2.3731584756984967,0.7564102564102564,0.6129032258064516,0.6785714285714286,0.5277777777777778,0.7307692307692307,416,104
4,DDI-Net[gat],test_S3,0.65,0.4027116777808064,1.6108467111232256,0.6583333333333333,0.49122807017543857,0.5982905982905983,0.3783783783783784,0.7,80,20
0,DDI-Net[sage],test_S2,0.6999050332383665,0.4233411533400516,1.6933646133602065,0.6609686609686609,0.4921875,0.5189456342668863,0.45323741007194246,0.5384615384615384,468,117
0,DDI-Net[sage],test_S3,0.6394557823129252,0.40656108862580476,1.626244354503219,0.5357142857142857,0.3225806451612903,0.3424657534246575,0.29411764705882354,0.35714285714285715,56,14
1,DDI-Net[sage],test_S2,0.7047413793103448,0.43102019476789,1.72408077907156,0.6336206896551724,0.46394984326018807,0.5547226386806596,0.3645320197044335,0.6379310344827587,464,116
1,DDI-Net[sage],test_S3,0.5034013605442177,0.3078524142224807,1.2314096568899229,0.5238095238095238,0.35,0.4268292682926829,0.2692307692307692,0.5,56,14
2,DDI-Net[sage],test_S2,0.691043667123914,0.40772080170259056,1.6308832068103623,0.6404320987654321,0.4674329501915709,0.5213675213675214,0.39869281045751637,0.5648148148148148,432,108
2,DDI-Net[sage],test_S3,0.7770219198790627,0.5045131133125818,2.018052453250327,0.7063492063492063,0.5352112676056338,0.7089552238805971,0.38,0.9047619047619048,84,21
3,DDI-Net[sage],test_S2,0.7428650137741046,0.44935447880921836,1.7974179152368734,0.6575757575757576,0.4864864864864865,0.4891304347826087,0.48214285714285715,0.4909090909090909,440,110
3,DDI-Net[sage],test_S3,0.6783333333333333,0.4343326537769082,1.7373306151076329,0.575,0.34285714285714286,0.3157894736842105,0.4,0.3,80,20
4,DDI-Net[sage],test_S2,0.6975468441814596,0.5095830058152548,2.0383320232610194,0.6538461538461539,0.4811320754716981,0.4866412213740458,0.4722222222222222,0.49038461538461536,416,104
4,DDI-Net[sage],test_S3,0.4458333333333333,0.22488363948344986,0.8995345579337994,0.45833333333333337,0.1951219512195122,0.19801980198019803,0.19047619047619047,0.2,80,20
0,DDI-Net[gcn],test_S2,0.7285898653420022,0.44726570969789126,1.789062838791565,0.6011396011396011,0.3883495145631068,0.3590664272890485,0.449438202247191,0.3418803418803419,468,117
0,DDI-Net[gcn],test_S3,0.6530612244897959,0.4223338925979982,1.6893355703919928,0.5476190476190476,0.2727272727272727,0.234375,0.375,0.21428571428571427,56,14
1,DDI-Net[gcn],test_S2,0.7181678557273088,0.4417308506542851,1.7669234026171403,0.6666666666666667,0.5,0.5988023952095808,0.39215686274509803,0.6896551724137931,464,116
1,DDI-Net[gcn],test_S3,0.5187074829931972,0.2823507552485446,1.1294030209941783,0.5,0.3333333333333333,0.4166666666666667,0.25,0.5,56,14
2,DDI-Net[gcn],test_S2,0.7012174211248285,0.42323257810460446,1.6929303124184178,0.6373456790123457,0.46984126984126984,0.5790297339593115,0.357487922705314,0.6851851851851852,432,108
2,DDI-Net[gcn],test_S3,0.7551020408163265,0.46733519913219,1.86934079652876,0.6587301587301587,0.49382716049382713,0.6944444444444444,0.3333333333333333,0.9523809523809523,84,21
3,DDI-Net[gcn],test_S2,0.763801652892562,0.42983861862171696,1.7193544744868678,0.7090909090909091,0.5507246376811594,0.6270627062706271,0.4578313253012048,0.6909090909090909,440,110
3,DDI-Net[gcn],test_S3,0.695,0.5081299592181063,2.0325198368724253,0.6166666666666667,0.44,0.5,0.36666666666666664,0.55,80,20
4,DDI-Net[gcn],test_S2,0.7793392504930966,0.5303898891476692,2.1215595565906766,0.7355769230769231,0.5836575875486382,0.6590509666080844,0.49019607843137253,0.7211538461538461,416,104
4,DDI-Net[gcn],test_S3,0.7041666666666666,0.6128693306863402,2.451477322745361,0.5666666666666667,0.4,0.5,0.3,0.6,80,20
0,DDI-Net[gat+no-coattn],test_S2,0.7040689604792169,0.42855388017624624,1.714215520704985,0.6410256410256411,0.46715328467153283,0.512,0.40764331210191085,0.5470085470085471,468,117
0,DDI-Net[gat+no-coattn],test_S3,0.7091836734693877,0.4376946635061241,1.7507786540244965,0.5952380952380952,0.4117647058823529,0.4605263157894737,0.35,0.5,56,14
1,DDI-Net[gat+no-coattn],test_S2,0.7087049147839874,0.4349064851517667,1.7396259406070669,0.6422413793103448,0.4693140794223827,0.52,0.40372670807453415,0.5603448275862069,464,116
1,DDI-Net[gat+no-coattn],test_S3,0.5017006802721089,0.28001870774061055,1.1200748309624422,0.5,0.3157894736842105,0.375,0.25,0.42857142857142855,56,14
2,DDI-Net[gat+no-coattn],test_S2,0.7057041609510746,0.45095471300323564,1.8038188520129426,0.6450617283950617,0.47058823529411764,0.498220640569395,0.4307692307692308,0.5185185185185185,432,108
2,DDI-Net[gat+no-coattn],test_S3,0.7906273620559335,0.5607028030507744,2.2428112122030974,0.746031746031746,0.5925925925925926,0.6837606837606838,0.48484848484848486,0.7619047619047619,84,21
3,DDI-Net[gat+no-coattn],test_S2,0.7706611570247934,0.47063472717735755,1.8825389087094302,0.7045454545454546,0.5475285171102662,0.6070826306913997,0.47058823529411764,0.6545454545454545,440,110
3,DDI-Net[gat+no-coattn],test_S3,0.6408333333333334,0.3473833302056035,1.389533320822414,0.5916666666666667,0.40816326530612246,0.45871559633027525,0.3448275862068966,0.5,80,20
4,DDI-Net[gat+no-coattn],test_S2,0.7977995562130178,0.5659003362517973,2.263601345007189,0.7163461538461539,0.5756097560975609,0.5705996131528046,0.5841584158415841,0.5673076923076923,416,104
4,DDI-Net[gat+no-coattn],test_S3,0.7441666666666666,0.49335955238022877,1.973438209520915,0.7083333333333334,0.5531914893617021,0.6074766355140186,0.48148148148148145,0.65,80,20
0,DDI-Net[gat+no-graph],test_S2,0.4644361652908661,0.2829781056291423,1.131912422516569,0.5213675213675213,0.1076923076923077,0.07276507276507277,0.5384615384615384,0.05982905982905983,468,117
0,DDI-Net[gat+no-graph],test_S3,0.3554421768707483,0.20113074275504417,0.8045229710201767,0.5,0.0,0.0,0.0,0.0,56,14
1,DDI-Net[gat+no-graph],test_S2,0.5182446492271106,0.2847329506366635,1.138931802546654,0.5,0.4,0.625,0.25,1.0,464,116
1,DDI-Net[gat+no-graph],test_S3,0.2465986394557823,0.18179491809866577,0.7271796723946631,0.5,0.4,0.625,0.25,1.0,56,14
2,DDI-Net[gat+no-graph],test_S2,0.549982853223594,0.27176796130488834,1.0870718452195534,0.5015432098765432,0.338368580060423,0.42748091603053434,0.25112107623318386,0.5185185185185185,432,108
2,DDI-Net[gat+no-graph],test_S3,0.49433106575963714,0.2524632790788259,1.0098531163153035,0.4365079365079365,0.26229508196721313,0.3225806451612903,0.2,0.38095238095238093,84,21
3,DDI-Net[gat+no-graph],test_S2,0.43595041322314043,0.24980739559841247,0.9992295823936499,0.45606060606060606,0.3639921722113503,0.5529131985731273,0.23192019950124687,0.8454545454545455,440,110
3,DDI-Net[gat+no-graph],test_S3,0.5158333333333334,0.29857283976098575,1.194291359043943,0.5,0.4,0.625,0.25,1.0,80,20
4,DDI-Net[gat+no-graph],test_S2,0.5301559418145957,0.26581952646419177,1.063278105856767,0.4855769230769231,0.08759124087591241,0.066815144766147,0.18181818181818182,0.057692307692307696,416,104
4,DDI-Net[gat+no-graph],test_S3,0.5216666666666666,0.25519602037835054,1.0207840815134022,0.4666666666666667,0.0,0.0,0.0,0.0,80,20
0,DDI-Net[gat+no-mol],test_S2,0.7143935520003896,0.4960087817672625,1.98403512706905,0.6595441595441596,0.49158249158249157,0.5632716049382716,0.40555555555555556,0.6239316239316239,468,117
0,DDI-Net[gat+no-mol],test_S3,0.7210884353741497,0.5235798950084665,2.094319580033866,0.6785714285714286,0.5142857142857142,0.5844155844155844,0.42857142857142855,0.6428571428571429,56,14
1,DDI-Net[gat+no-mol],test_S2,0.7135602457391993,0.4731558484547187,1.8926233938188748,0.6623563218390804,0.49498327759197325,0.5718701700154559,0.40437158469945356,0.6379310344827587,464,116
1,DDI-Net[gat+no-mol],test_S3,0.5816326530612245,0.3819680828156799,1.5278723312627196,0.5357142857142857,0.34285714285714286,0.38961038961038963,0.2857142857142857,0.42857142857142855,56,14
2,DDI-Net[gat+no-mol],test_S2,0.7063328760859624,0.47569123384195344,1.9027649353678138,0.6620370370370371,0.4930232558139535,0.49165120593692024,0.4953271028037383,0.49074074074074076,432,108
2,DDI-Net[gat+no-mol],test_S3,0.6220710506424793,0.3865570948616154,1.5462283794464615,0.5873015873015872,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,84,21
3,DDI-Net[gat+no-mol],test_S2,0.7774655647382921,0.5035320601114053,2.014128240445621,0.6924242424242424,0.5367965367965368,0.5525846702317291,0.512396694214876,0.5636363636363636,440,110
3,DDI-Net[gat+no-mol],test_S3,0.6758333333333333,0.40618695954293293,1.6247478381717317,0.5916666666666667,0.3902439024390244,0.39603960396039606,0.38095238095238093,0.4,80,20
4,DDI-Net[gat+no-mol],test_S2,0.8143799309664694,0.6183746563744656,2.4734986254978626,0.7163461538461539,0.5727699530516432,0.580952380952381,0.5596330275229358,0.5865384615384616,416,104
4,DDI-Net[gat+no-mol],test_S3,0.685,0.5400408242079815,2.160163296831926,0.6416666666666666,0.46511627906976744,0.4854368932038835,0.43478260869565216,0.5,80,20
